station_code,location,state,temperature_c,do_mg_l,ph,conductivity_umhos_cm,bod_mg_l,nitrate_nitrite_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,year
1564,"AYUR, KERALA",KERALA,29.0,6.3,7.1,83.0,1.0,0.4,643.0,1080.0,2007
1566,"THIRURANGADY, KERALA",KERALA,28.0,6.2,6.5,95.0,0.8,1.2,1075.0,2550.0,2007
1567,"KUTTIYADY ESTATE, KERALA",KERALA,28.0,6.9,6.4,41.0,0.5,0.2,83.0,285.0,2007
1568,"VALAYAM, KERALA",KERALA,27.0,6.8,6.5,51.0,0.5,0.2,98.0,435.0,2007
1569,"THALIPARAMBA, KERALA",KERALA,28.0,6.6,6.9,11654.0,0.7,0.3,338.0,963.0,2007
1570,"HOSDURG, KERALA",KERALA,28.0,7.0,7.2,11962.0,0.3,0.3,68.0,550.0,2007
1571,"KAKKADAVU, KERALA",KERALA,28.0,7.5,6.9,52.0,0.5,0.2,138.0,685.0,2007
1572,"PADIYATHADKA, KERALA",KERALA,28.0,7.4,6.8,68.0,0.3,0.2,160.0,725.0,2007
1573,"IRUMPANAM, KERALA",KERALA,29.0,2.8,6.6,1239.0,2.3,0.6,263.0,645.0,2007
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.0,7.3,7.3,152.0,2.0,1.28,333.0,998.0,2007
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,25.0,7.102,7.945,307.5,1.525,0.11,26.0,50.0,2006
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",GUJARAT,25.5,3.487,7.015,25950.0,9.2,0.228,378.0,1400.0,2006
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,29.0,5.6,8.173,3660.0,4.6,0.46,4500.0,6867.0,2006
1149,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,26.5,6.085,7.695,933.0,3.2,0.153,450.0,1550.0,2006
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD, GUJARAT",GUJARAT,26.5,6.055,7.605,6715.0,4.3,0.222,45.0,140.0,2006
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,28.0,6.7,7.215,15580.0,431.5,0.395,7.0,8.0,2006
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,GUJARAT",GUJARAT,27.0,7.93,8.32,2160.0,1.46,0.277,4.0,5.0,2006
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, GUJARAT",GUJARAT,25.667,4.9,7.943,504.7,3.1,0.603,1810.0,2367.0,2006
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,27.75,6.625,7.725,149.3,2.175,0.123,2.0,60.0,2006
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,30.0,6.4,7.45,142.8,2.025,0.155,1787.0,4073.0,2006
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,28.25,6.2,7.9,218.0,1.575,0.615,221.0,85.0,2006
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,26.667,7.4,6.733,344.3,1.7,0.9,33.0,160.0,2006
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,28.75,7.6,6.775,213.3,1.3,0.173,133.0,3275.0,2006
1545,"RIVER MADAI AT DABOS NAN VALPOI, GOA",GOA,28.0,7.35,7.1,214.8,1.425,0.15,41.0,285.0,2006
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,28.25,7.675,6.875,103.3,1.025,3.367,18.0,96.0,2006
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,27.25,7.125,7.55,418.3,1.725,0.45,18.0,106.0,2006
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.5,7.0,6.725,497.3,1.575,0.135,1956.0,5425.0,2006
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,27.714,6.543,7.229,130.4,4.014,0.307,8.0,187.0,2006
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.714,6.7,7.307,121.5,3.857,0.264,9.0,162.0,2006
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,28.667,7.1,7.507,102.5,4.633,0.21,10.0,152.0,2006
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,26.667,6.333,7.277,542.0,5.4,7.187,15.0,207.0,2006
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,26.714,6.471,7.379,204.3,3.729,0.309,10.0,174.0,2006
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,28.286,6.371,7.061,214.0,4.5,0.346,18.0,292.0,2006
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,19.333,6.7,7.44,153.3,4.4,0.65,23.0,305.0,2006
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,29.083,6.2,6.457,881.1,1.757,0.326,253.0,541.0,2006
18,"PERIYAR AT KALADY, KERALA",KERALA,27.417,7.286,6.586,82.9,1.071,0.233,222.0,470.0,2006
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,27.286,6.525,6.5,124.1,1.313,0.227,334.0,844.0,2006
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,28.6,6.917,6.95,185.4,0.467,0.112,165.0,433.0,2006
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,28.667,6.8,7.043,8489.9,0.414,0.153,238.0,473.0,2006
